,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Milwaukee Bucks,2014-2015,Giannis Antetokounmpo,6-11,222,"December 6, 1994",1,
1,Milwaukee Bucks,2014-2015,Jerryd Bayless,6-3,200,"August 20, 1988",6,University of Arizona
2,Milwaukee Bucks,2014-2015,Michael Carter-Williams,6-6,190,"October 10, 1991",1,Syracuse University
3,Milwaukee Bucks,2014-2015,Jared Dudley,6-7,225,"July 10, 1985",7,Boston College
4,Milwaukee Bucks,2014-2015,Tyler Ennis,6-3,194,"August 24, 1994",0,Syracuse University
5,Milwaukee Bucks,2014-2015,Jorge Gutierrez,6-3,191,"December 27, 1988",1,University of California
6,Milwaukee Bucks,2014-2015,John Henson,6-11,229,"December 28, 1990",2,University of North Carolina
7,Milwaukee Bucks,2014-2015,Ersan Ilyasova,6-10,235,"May 15, 1987",6,
8,Milwaukee Bucks,2014-2015,Chris Johnson,6-6,206,"April 29, 1990",2,University of Dayton
9,Milwaukee Bucks,2014-2015,Brandon Knight,6-3,189,"December 2, 1991",3,University of Kentucky
10,Milwaukee Bucks,2014-2015,Kendall Marshall,6-4,200,"August 19, 1991",2,University of North Carolina
11,Milwaukee Bucks,2014-2015,Kenyon Martin,6-9,234,"December 30, 1977",14,University of Cincinnati
12,Milwaukee Bucks,2014-2015,O.J. Mayo,6-5,210,"November 5, 1987",6,University of Southern California
13,Milwaukee Bucks,2014-2015,Khris Middleton,6-8,234,"August 12, 1991",2,Texas A&M University
14,Milwaukee Bucks,2014-2015,Johnny O'Bryant,6-9,257,"June 1, 1993",0,Louisiana State University
15,Milwaukee Bucks,2014-2015,Zaza Pachulia,6-11,270,"February 10, 1984",11,
16,Milwaukee Bucks,2014-2015,Jabari Parker,6-8,250,"March 15, 1995",0,Duke University
17,Milwaukee Bucks,2014-2015,Miles Plumlee,6-11,249,"September 1, 1988",2,Duke University
18,Milwaukee Bucks,2014-2015,Larry Sanders,6-11,235,"November 21, 1988",4,Virginia Commonwealth University
19,Milwaukee Bucks,2014-2015,Nate Wolters,6-4,190,"May 15, 1991",1,South Dakota State University
