,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,243.0,37.6,82.0,0.459,6.6,18.3,0.363,31.0,63.7,0.486,16.0,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8
1,241.8,38.4,82.2,0.467,5.4,15.6,0.345,33.0,66.6,0.495,17.0,22.7,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0
2,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30.0,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6
3,241.1,38.8,81.0,0.479,8.9,24.4,0.365,29.9,56.5,0.528,16.6,22.1,0.749,7.0,30.8,37.9,22.3,8.4,5.4,13.9,22.2,103.0
