,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,MP,ORD,PF,PTS,STL,TOV,TRB
0,29.1,0.469,62.0,7.5,0.352,21.2,21.4,4.6,34.4,36.6,0.439,83.2,16.7,0.756,22.2,242.1,10.4,21.2,97.3,6.2,14.0,44.9
1,30.2,0.486,62.1,8.1,0.351,23.0,21.2,4.8,33.9,38.3,0.45,85.2,17.4,0.764,22.8,242.4,10.3,20.0,102.2,9.0,14.9,44.2
2,30.6,0.498,61.5,8.6,0.376,23.0,22.5,5.0,33.0,39.3,0.465,84.5,17.9,0.81,22.1,242.1,9.0,19.5,105.1,8.2,13.8,42.0
3,31.4,0.513,61.2,10.0,0.401,25.0,23.3,4.5,33.5,41.4,0.48,86.1,15.6,0.773,20.2,240.0,8.9,18.7,108.3,8.1,14.5,42.4
