,Team,Season,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,San Antonio Spurs,2014-2015,243.4,39.1,83.6,0.468,8.3,22.5,0.367,30.9,61.1,0.505,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8.0,5.4,14.0,19.1,103.2
1,San Antonio Spurs,2015-2016,240.3,40.1,82.9,0.484,7.0,18.5,0.375,33.2,64.4,0.515,16.4,20.4,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
2,San Antonio Spurs,2016-2017,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22.0,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3
3,San Antonio Spurs,2017-2018,240.0,38.0,83.4,0.455,9.2,25.0,0.37,28.8,58.4,0.492,16.0,20.3,0.789,10.3,34.0,44.3,23.3,7.6,6.2,14.4,17.6,101.3
