,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,240.3,35.4,79.2,0.447,7.4,21.7,0.343,27.9,57.5,0.486,17.0,23.5,0.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1
1,243.4,36.1,80.4,0.449,8.5,23.9,0.355,27.6,56.5,0.488,17.1,23.0,0.744,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7
2,240.9,37.0,79.5,0.466,9.6,26.0,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7
3,241.0,37.7,82.8,0.455,11.8,30.5,0.388,25.9,52.3,0.495,16.0,19.6,0.814,8.8,31.7,40.5,22.0,9.8,5.3,15.0,20.3,103.3
