,Team,Season,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Cleveland Cavaliers,2014-2015,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1
1,Cleveland Cavaliers,2015-2016,242.1,38.7,84.0,0.46,10.7,29.6,0.362,27.9,54.4,0.514,16.3,21.7,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
2,Cleveland Cavaliers,2016-2017,242.4,39.9,84.9,0.47,13.0,33.9,0.384,26.9,51.0,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3
3,Cleveland Cavaliers,2017-2018,241.0,40.0,83.2,0.481,12.0,32.4,0.37,28.0,50.7,0.553,19.0,23.4,0.811,8.3,34.2,42.5,22.9,6.9,4.0,14.7,19.1,111.1
