,Team,Season,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Memphis Grizzlies,2014-2015,242.7,37.8,82.5,0.458,5.2,15.2,0.339,32.6,67.3,0.485,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3
1,Memphis Grizzlies,2015-2016,241.8,36.8,83.6,0.44,6.1,18.5,0.331,30.7,65.1,0.471,19.3,24.7,0.783,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
2,Memphis Grizzlies,2016-2017,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27.0,57.1,0.473,18.3,23.4,0.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5
3,Memphis Grizzlies,2017-2018,240.0,35.5,79.6,0.446,9.2,27.0,0.342,26.3,52.6,0.5,17.5,21.9,0.8,7.5,31.3,38.8,20.9,7.3,5.5,14.2,22.4,97.7
