,Team,Season,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Oklahoma City Thunder,2014-2015,241.8,38.8,86.8,0.447,7.7,22.7,0.339,31.1,64.1,0.486,18.6,24.6,0.754,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104.0
1,Oklahoma City Thunder,2015-2016,241.8,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2
2,Oklahoma City Thunder,2016-2017,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6
3,Oklahoma City Thunder,2017-2018,240.0,37.8,85.7,0.441,10.2,30.0,0.339,27.7,55.7,0.496,16.1,22.1,0.729,11.4,31.5,43.0,21.0,10.5,4.9,15.5,21.1,102.0
