,Team,Season,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sacramento Kings,2014-2015,242.1,36.7,80.7,0.455,5.6,16.5,0.341,31.1,64.2,0.484,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4.0,16.3,20.7,101.3
1,Sacramento Kings,2015-2016,241.5,40.0,86.4,0.464,8.0,22.4,0.359,32.0,64.0,0.5,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
2,Sacramento Kings,2016-2017,242.4,37.9,82.1,0.461,9.0,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8
3,Sacramento Kings,2017-2018,240.0,37.4,84.3,0.443,8.1,21.4,0.378,29.3,62.9,0.466,12.8,17.3,0.738,9.1,30.3,39.4,20.5,8.2,4.2,14.7,19.8,95.6
