,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Memphis Grizzlies,2014-2015,Jordan Adams,6-5,209,"July 8, 1994",0,"University of California, Los Angeles"
1,Memphis Grizzlies,2014-2015,Tony Allen,6-4,213,"January 11, 1982",10,Oklahoma State University
2,Memphis Grizzlies,2014-2015,Nick Calathes,6-6,213,"February 7, 1989",1,University of Florida
3,Memphis Grizzlies,2014-2015,Vince Carter,6-6,220,"January 26, 1977",16,University of North Carolina
4,Memphis Grizzlies,2014-2015,Mike Conley,6-1,175,"October 11, 1987",7,Ohio State University
5,Memphis Grizzlies,2014-2015,Marc Gasol,7-1,255,"January 29, 1985",6,
6,Memphis Grizzlies,2014-2015,JaMychal Green,6-9,227,"June 21, 1990",0,University of Alabama
7,Memphis Grizzlies,2014-2015,Jeff Green,6-9,235,"August 28, 1986",6,Georgetown University
8,Memphis Grizzlies,2014-2015,Kosta Koufos,7-0,265,"February 24, 1989",6,Ohio State University
9,Memphis Grizzlies,2014-2015,Courtney Lee,6-5,200,"October 3, 1985",6,Western Kentucky University
10,Memphis Grizzlies,2014-2015,Jon Leuer,6-10,228,"May 14, 1989",3,University of Wisconsin
11,Memphis Grizzlies,2014-2015,Kalin Lucas,6-1,195,"May 24, 1989",0,Michigan State University
12,Memphis Grizzlies,2014-2015,Quincy Pondexter,6-7,220,"March 10, 1988",4,University of Washington
13,Memphis Grizzlies,2014-2015,Tayshaun Prince,6-9,212,"February 28, 1980",12,University of Kentucky
14,Memphis Grizzlies,2014-2015,Zach Randolph,6-9,260,"July 16, 1981",13,Michigan State University
15,Memphis Grizzlies,2014-2015,Russ Smith,6-0,165,"April 19, 1991",0,University of Louisville
16,Memphis Grizzlies,2014-2015,Jarnell Stokes,6-9,263,"January 7, 1994",0,University of Tennessee
17,Memphis Grizzlies,2014-2015,Tyrus Thomas,6-9,215,"August 17, 1986",7,Louisiana State University
18,Memphis Grizzlies,2014-2015,Beno Udrih,6-3,205,"July 5, 1982",10,
