,Team,Name,Height,Weight,Birthdate,Experience,College
0,Toronto Raptors,Bruno Caboclo,6-9,218,"September 21, 1995",0,
1,Toronto Raptors,DeMar DeRozan,6-7,221,"August 7, 1989",5,University of Southern California
2,Toronto Raptors,Landry Fields,6-7,210,"June 27, 1988",4,Stanford University
3,Toronto Raptors,Tyler Hansbrough,6-9,250,"November 3, 1985",5,University of North Carolina
4,Toronto Raptors,Chuck Hayes,6-6,240,"June 11, 1983",9,University of Kentucky
5,Toronto Raptors,Amir Johnson,6-9,240,"May 1, 1987",9,
6,Toronto Raptors,James Johnson,6-9,250,"February 20, 1987",5,Wake Forest University
7,Toronto Raptors,Kyle Lowry,6-0,205,"March 25, 1986",8,Villanova University
8,Toronto Raptors,Lucas Nogueira,7-0,241,"July 26, 1992",0,
9,Toronto Raptors,Patrick Patterson,6-9,230,"March 14, 1989",4,University of Kentucky
10,Toronto Raptors,Terrence Ross,6-7,206,"February 5, 1991",2,University of Washington
11,Toronto Raptors,Greg Stiemsma,6-11,260,"September 26, 1985",3,University of Wisconsin
12,Toronto Raptors,Jonas Valanciunas,7-0,265,"May 6, 1992",2,
13,Toronto Raptors,Greivis Vasquez,6-6,217,"January 16, 1987",4,University of Maryland
14,Toronto Raptors,Lou Williams,6-1,175,"October 27, 1986",9,
