,Team,Name,Height,Weight,Birthdate,Experience,College
0,Minnesota Timberwolves,Cole Aldrich,6-11,250,"October 31, 1988",6,University of Kansas
1,Minnesota Timberwolves,Nemanja Bjelica,6-10,240,"May 9, 1988",1,
2,Minnesota Timberwolves,Omri Casspi,6-9,225,"June 22, 1988",7,
3,Minnesota Timberwolves,Gorgui Dieng,6-11,241,"January 18, 1990",3,University of Louisville
4,Minnesota Timberwolves,Kris Dunn,6-4,210,"March 18, 1994",0,Providence College
5,Minnesota Timberwolves,Jordan Hill,6-10,235,"July 27, 1987",7,University of Arizona
6,Minnesota Timberwolves,Tyus Jones,6-2,195,"May 10, 1996",1,Duke University
7,Minnesota Timberwolves,Zach LaVine,6-5,189,"March 10, 1995",2,"University of California, Los Angeles"
8,Minnesota Timberwolves,John Lucas III,5-11,166,"November 21, 1982",7,Oklahoma State University
9,Minnesota Timberwolves,Shabazz Muhammad,6-6,223,"November 13, 1992",3,"University of California, Los Angeles"
10,Minnesota Timberwolves,Adreian Payne,6-10,237,"February 19, 1991",2,Michigan State University
11,Minnesota Timberwolves,Ricky Rubio,6-4,194,"October 21, 1990",5,
12,Minnesota Timberwolves,Brandon Rush,6-6,220,"July 7, 1985",8,University of Kansas
13,Minnesota Timberwolves,Lance Stephenson,6-5,230,"September 5, 1990",6,University of Cincinnati
14,Minnesota Timberwolves,Karl-Anthony Towns,7-0,244,"November 15, 1995",1,University of Kentucky
15,Minnesota Timberwolves,Andrew Wiggins,6-8,199,"February 23, 1995",2,University of Kansas
