,Team,Name,Height,Weight,Birthdate,Experience,College
0,Detroit Pistons,Joel Anthony,6-9,245,"August 9, 1982",7,"University of Nevada, Las Vegas"
1,Detroit Pistons,D.J. Augustin,6-0,183,"November 10, 1987",6,University of Texas at Austin
2,Detroit Pistons,Caron Butler,6-7,228,"March 13, 1980",12,University of Connecticut
3,Detroit Pistons,Kentavious Caldwell-Pope,6-5,205,"February 18, 1993",1,University of Georgia
4,Detroit Pistons,Luigi Datome,6-8,215,"November 27, 1987",1,
5,Detroit Pistons,Spencer Dinwiddie,6-6,200,"April 6, 1993",0,University of Colorado
6,Detroit Pistons,Andre Drummond,6-11,279,"August 10, 1993",2,University of Connecticut
7,Detroit Pistons,Reggie Jackson,6-3,208,"April 16, 1990",3,Boston College
8,Detroit Pistons,Brandon Jennings,6-1,170,"September 23, 1989",5,
9,Detroit Pistons,Jonas Jerebko,6-10,231,"March 2, 1987",4,
10,Detroit Pistons,John Lucas III,5-11,166,"November 21, 1982",6,Oklahoma State University
11,Detroit Pistons,Cartier Martin,6-7,220,"November 20, 1984",6,Kansas State University
12,Detroit Pistons,Jodie Meeks,6-4,210,"August 21, 1987",5,University of Kentucky
13,Detroit Pistons,Quincy Miller,6-9,210,"November 18, 1992",2,Baylor University
14,Detroit Pistons,Greg Monroe,6-11,265,"June 4, 1990",4,Georgetown University
15,Detroit Pistons,Tayshaun Prince,6-9,212,"February 28, 1980",12,University of Kentucky
16,Detroit Pistons,Kyle Singler,6-8,228,"May 4, 1988",2,Duke University
17,Detroit Pistons,Josh Smith,6-9,225,"December 5, 1985",10,
18,Detroit Pistons,Anthony Tolliver,6-8,240,"June 1, 1985",6,Creighton University
19,Detroit Pistons,Shawne Williams,6-9,225,"February 16, 1986",6,University of Memphis
