,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Cleveland Cavaliers,2015-2016,Jared Cunningham,6-4,195,"May 22, 1991",3,Oregon State University
1,Cleveland Cavaliers,2015-2016,Matthew Dellavedova,6-4,198,"September 8, 1990",2,Saint Mary's College of California
2,Cleveland Cavaliers,2015-2016,Channing Frye,6-11,255,"May 17, 1983",9,University of Arizona
3,Cleveland Cavaliers,2015-2016,Joe Harris,6-6,219,"September 6, 1991",1,University of Virginia
4,Cleveland Cavaliers,2015-2016,Kyrie Irving,6-3,193,"March 23, 1992",4,Duke University
5,Cleveland Cavaliers,2015-2016,LeBron James,6-8,250,"December 30, 1984",12,
6,Cleveland Cavaliers,2015-2016,Richard Jefferson,6-7,233,"June 21, 1980",14,University of Arizona
7,Cleveland Cavaliers,2015-2016,Dahntay Jones,6-6,225,"December 27, 1980",11,Duke University
8,Cleveland Cavaliers,2015-2016,James Jones,6-8,218,"October 4, 1980",12,University of Miami
9,Cleveland Cavaliers,2015-2016,Sasha Kaun,6-11,260,"May 8, 1985",0,University of Kansas
10,Cleveland Cavaliers,2015-2016,Kevin Love,6-10,251,"September 7, 1988",7,"University of California, Los Angeles"
11,Cleveland Cavaliers,2015-2016,Jordan McRae,6-6,185,"March 28, 1991",0,University of Tennessee
12,Cleveland Cavaliers,2015-2016,Timofey Mozgov,7-1,275,"July 16, 1986",5,
13,Cleveland Cavaliers,2015-2016,Iman Shumpert,6-5,220,"June 26, 1990",4,Georgia Institute of Technology
14,Cleveland Cavaliers,2015-2016,J.R. Smith,6-6,225,"September 9, 1985",11,
15,Cleveland Cavaliers,2015-2016,Tristan Thompson,6-9,238,"March 13, 1991",4,University of Texas at Austin
16,Cleveland Cavaliers,2015-2016,Anderson Varejao,6-10,273,"September 28, 1982",11,
17,Cleveland Cavaliers,2015-2016,Mo Williams,6-1,198,"December 19, 1982",12,University of Alabama
