,Team,Name,Height,Weight,Birthdate,Experience,College
0,Portland Trail Blazers,Cliff Alexander,6-8,245,"November 16, 1995",0,University of Kansas
1,Portland Trail Blazers,Al-Farouq Aminu,6-9,220,"September 21, 1990",5,Wake Forest University
2,Portland Trail Blazers,Pat Connaughton,6-5,206,"January 6, 1993",0,University of Notre Dame
3,Portland Trail Blazers,Allen Crabbe,6-6,210,"April 9, 1992",2,University of California
4,Portland Trail Blazers,Ed Davis,6-10,240,"June 5, 1989",5,University of North Carolina
5,Portland Trail Blazers,Tim Frazier,6-1,170,"November 1, 1990",1,Pennsylvania State University
6,Portland Trail Blazers,Maurice Harkless,6-9,215,"May 11, 1993",3,St. John's University
7,Portland Trail Blazers,Gerald Henderson,6-5,215,"December 9, 1987",6,Duke University
8,Portland Trail Blazers,Chris Kaman,7-0,265,"April 28, 1982",12,Central Michigan University
9,Portland Trail Blazers,Meyers Leonard,7-1,245,"February 27, 1992",3,University of Illinois at Urbana-Champaign
10,Portland Trail Blazers,Damian Lillard,6-3,195,"July 15, 1990",3,Weber State University
11,Portland Trail Blazers,C.J. McCollum,6-3,190,"September 19, 1991",2,Lehigh University
12,Portland Trail Blazers,Luis Montero,6-7,185,"April 6, 1993",0,Westchester CC
13,Portland Trail Blazers,Mason Plumlee,6-11,245,"March 5, 1990",2,Duke University
14,Portland Trail Blazers,Brian Roberts,6-1,173,"December 3, 1985",3,University of Dayton
15,Portland Trail Blazers,Noah Vonleh,6-10,240,"August 24, 1995",1,Indiana University
