,name,height,weight,bday,exp,college
0,Cameron Bairstow,6-9,250,"December 7, 1990",1,University of New Mexico
1,Aaron Brooks,6-0,161,"January 14, 1985",7,University of Oregon
2,Jimmy Butler,6-8,236,"September 14, 1989",4,Marquette University
3,Mike Dunleavy,6-9,230,"September 15, 1980",13,Duke University
4,Cristiano Felicio,6-10,275,"July 7, 1992",0,
5,Pau Gasol,7-0,250,"July 6, 1980",14,
6,Taj Gibson,6-9,225,"June 24, 1985",6,University of Southern California
7,Kirk Hinrich,6-4,190,"January 2, 1981",12,University of Kansas
8,Justin Holiday,6-6,185,"April 5, 1989",2,University of Washington
9,Doug McDermott,6-8,225,"January 3, 1992",1,Creighton University
10,Nikola Mirotic,6-10,220,"February 11, 1991",1,
11,E'Twaun Moore,6-4,191,"February 28, 1989",4,Purdue University
12,Joakim Noah,6-11,230,"February 25, 1985",8,University of Florida
13,Bobby Portis,6-11,230,"February 10, 1995",0,University of Arkansas
14,Derrick Rose,6-3,190,"October 4, 1988",6,University of Memphis
15,Tony Snell,6-7,200,"November 10, 1991",2,University of New Mexico
