,name,height,weight,bday,exp,college
0,Tarik Black,6-9,250,"November 22, 1991",2,University of Kansas
1,Corey Brewer,6-9,186,"March 5, 1986",9,University of Florida
2,Jose Calderon,6-3,200,"September 28, 1981",11,
3,Jordan Clarkson,6-5,194,"June 7, 1992",2,University of Missouri
4,Luol Deng,6-9,220,"April 16, 1985",12,Duke University
5,Tyler Ennis,6-3,194,"August 24, 1994",2,Syracuse University
6,Marcelo Huertas,6-3,200,"May 25, 1983",1,
7,Brandon Ingram,6-9,190,"September 2, 1997",0,Duke University
8,Timofey Mozgov,7-1,275,"July 16, 1986",6,
9,Larry Nance,6-9,230,"January 1, 1993",1,University of Wyoming
10,David Nwaba,6-4,209,"January 14, 1993",0,"California Polytechnic State University, San Luis Obispo"
11,Julius Randle,6-9,250,"November 29, 1994",2,University of Kentucky
12,Thomas Robinson,6-10,237,"March 17, 1991",4,University of Kansas
13,D'Angelo Russell,6-5,195,"February 23, 1996",1,Ohio State University
14,Lou Williams,6-1,175,"October 27, 1986",11,
15,Metta World Peace,6-6,260,"November 13, 1979",16,St. John's University
16,Nick Young,6-7,210,"June 1, 1985",9,University of Southern California
17,Ivica Zubac,7-1,265,"March 18, 1997",0,
