,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,DeMarre Carroll,31,21,21,29.6,4.4,10.5,.423,2.0,5.2,.382,2.4,5.2,.464,.518,3.0,4.0,.753,1.8,5.3,7.0,1.8,1.0,0.4,1.4,2.4,13.9
1,D'Angelo Russell,21,12,12,27.8,7.9,17.1,.463,1.5,5.1,.295,6.4,12.0,.535,.507,3.6,5.3,.683,0.8,3.9,4.7,5.7,1.0,0.2,4.0,2.5,20.9
2,Allen Crabbe,25,20,13,27.0,4.1,10.0,.412,2.5,6.1,.402,1.7,3.9,.429,.535,1.5,1.8,.833,0.5,3.5,4.0,1.5,0.7,0.3,1.1,1.9,12.2
3,Rondae Hollis-Jefferson,23,20,19,26.9,4.9,10.2,.483,0.2,0.8,.250,4.7,9.4,.503,.493,4.1,5.0,.828,1.4,4.3,5.6,2.0,0.9,0.7,1.6,1.9,14.1
4,Spencer Dinwiddie,24,22,12,26.3,4.1,10.3,.403,2.0,5.1,.393,2.1,5.2,.412,.500,2.3,3.0,.769,0.7,2.5,3.2,6.2,0.7,0.4,1.1,2.6,12.5
5,Caris LeVert,23,23,8,25.9,4.1,9.9,.414,1.0,3.5,.284,3.1,6.3,.486,.465,1.4,2.3,.611,0.6,3.2,3.7,3.3,1.3,0.4,2.2,2.3,10.6
6,Jeremy Lin,29,1,1,25.0,5.0,12.0,.417,1.0,2.0,.500,4.0,10.0,.400,.458,7.0,7.0,1.000,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0
7,Joe Harris,26,22,3,23.6,3.7,7.9,.466,2.2,5.5,.405,1.5,2.4,.604,.606,0.8,1.0,.739,0.5,2.3,2.7,1.4,0.6,0.3,0.9,2.0,10.4
8,Trevor Booker,30,18,5,21.9,4.3,8.3,.513,0.2,0.7,.231,4.1,7.6,.540,.523,1.3,2.4,.558,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1
9,Tyler Zeller,28,15,7,18.3,3.3,5.4,.617,0.2,0.5,.429,3.1,4.9,.635,.636,1.3,2.1,.594,1.6,2.5,4.1,0.7,0.5,0.6,1.1,1.8,8.1
10,Quincy Acy,27,18,0,17.3,1.5,4.6,.325,1.2,3.7,.328,0.3,0.9,.313,.458,1.1,1.3,.833,0.5,3.3,3.8,0.7,0.4,0.2,1.1,2.1,5.3
11,Jarrett Allen,19,15,0,15.9,2.1,3.9,.534,0.1,0.1,.500,2.0,3.7,.536,.543,1.0,1.4,.714,1.5,2.3,3.7,0.6,0.7,0.9,0.5,1.7,5.2
12,Timofey Mozgov,31,16,14,15.1,2.1,3.7,.576,0.2,0.9,.200,1.9,2.8,.705,.602,0.6,0.9,.667,1.5,2.9,4.4,0.2,0.2,0.5,1.3,1.4,5.1
13,Isaiah Whitehead,22,8,0,11.5,2.6,5.8,.457,0.3,1.0,.250,2.4,4.8,.500,.478,0.8,1.3,.600,0.3,1.4,1.6,1.8,0.6,0.3,2.1,1.6,6.3
14,Sean Kilpatrick,28,16,0,11.4,1.6,5.4,.291,0.7,2.6,.262,0.9,2.8,.318,.355,1.1,1.2,.947,0.1,2.1,2.2,0.9,0.1,0.1,1.0,0.5,4.9
15,Jacob Wiley,23,4,0,8.0,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.3,0.5,.500,0.5,2.3,2.8,0.5,0.3,0.0,0.0,1.0,1.0
