,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Minnesota Timberwolves,Andrew Wiggins,19,82,82,36.2,6.1,13.9,.437,0.5,1.5,.310,5.6,12.3,.453,.454,4.3,5.7,.760,1.6,2.9,4.6,2.1,1.0,0.6,2.2,2.3,16.9
1,Minnesota Timberwolves,Thaddeus Young,26,48,48,33.4,6.0,13.4,.451,0.4,1.4,.292,5.6,12.0,.469,.466,1.8,2.7,.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3
2,Minnesota Timberwolves,Kevin Martin,31,39,36,33.4,6.8,16.0,.427,1.9,4.9,.393,4.9,11.1,.442,.487,4.4,4.9,.881,0.5,3.2,3.6,2.3,0.8,0.0,1.9,1.9,20.0
3,Minnesota Timberwolves,Ricky Rubio,24,22,22,31.5,3.5,10.0,.356,0.6,2.3,.255,3.0,7.6,.387,.386,2.6,3.2,.803,0.9,4.8,5.7,8.8,1.7,0.0,2.9,2.7,10.3
4,Minnesota Timberwolves,Gorgui Dieng,25,73,49,30.0,3.5,7.0,.506,0.0,0.1,.167,3.5,6.9,.510,.507,2.6,3.3,.783,3.1,5.3,8.3,2.0,1.0,1.7,1.7,2.6,9.7
5,Minnesota Timberwolves,Corey Brewer,28,24,16,28.3,3.9,9.4,.418,0.3,1.7,.195,3.6,7.7,.467,.436,2.3,3.3,.705,1.3,2.6,3.9,3.3,2.3,0.2,2.1,2.6,10.5
6,Minnesota Timberwolves,Mo Williams,32,41,19,28.0,4.4,10.9,.403,1.4,4.1,.347,3.0,6.8,.437,.469,2.0,2.3,.851,0.3,2.1,2.4,6.4,0.7,0.2,2.5,2.5,12.2
7,Minnesota Timberwolves,Nikola Pekovic,29,31,29,26.3,4.5,10.6,.424,0.0,0.0,,4.5,10.6,.424,.424,3.5,4.2,.837,2.9,4.7,7.5,0.9,0.6,0.4,1.4,1.9,12.5
8,Minnesota Timberwolves,Justin Hamilton,24,17,9,24.9,3.4,6.6,.513,0.2,0.7,.333,3.2,5.9,.535,.531,1.9,2.4,.825,1.9,3.1,5.1,1.4,1.1,1.5,1.1,2.2,9.0
9,Minnesota Timberwolves,Adreian Payne,23,29,22,24.8,3.1,7.3,.418,0.0,0.3,.125,3.0,7.1,.429,.420,1.0,1.5,.659,1.6,3.8,5.4,1.0,0.6,0.3,1.5,2.9,7.2
10,Minnesota Timberwolves,Zach LaVine,19,77,40,24.7,3.7,8.8,.422,0.7,2.2,.341,3.0,6.6,.449,.465,1.9,2.3,.842,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1
11,Minnesota Timberwolves,Gary Neal,30,11,1,23.8,4.1,9.5,.429,1.0,2.8,.355,3.1,6.7,.459,.481,2.6,3.0,.879,0.0,3.2,3.2,1.8,0.6,0.0,0.9,1.6,11.8
12,Minnesota Timberwolves,Shabazz Muhammad,22,38,13,22.8,5.1,10.4,.489,0.5,1.3,.392,4.6,9.1,.503,.514,2.7,3.8,.717,1.7,2.4,4.1,1.2,0.5,0.2,0.9,1.3,13.5
13,Minnesota Timberwolves,Kevin Garnett,38,5,5,19.6,3.6,6.2,.581,0.0,0.2,.000,3.6,6.0,.600,.581,0.4,0.8,.500,0.4,4.8,5.2,1.6,1.0,0.8,0.2,2.6,7.6
14,Minnesota Timberwolves,Chase Budinger,26,67,4,19.2,2.5,5.8,.433,0.8,2.1,.364,1.7,3.7,.474,.500,1.0,1.2,.827,0.5,2.5,3.0,1.0,0.7,0.1,0.7,1.1,6.8
15,Minnesota Timberwolves,Lorenzo Brown,24,29,7,18.9,1.8,4.2,.426,0.2,1.0,.214,1.6,3.2,.489,.451,0.4,0.7,.632,0.5,1.9,2.4,3.1,1.0,0.2,1.0,1.7,4.2
16,Minnesota Timberwolves,Sean Kilpatrick,25,4,0,18.0,1.8,5.0,.350,1.0,3.3,.308,0.8,1.8,.429,.450,1.0,1.0,1.000,0.3,1.3,1.5,1.0,0.8,0.0,0.5,0.8,5.5
17,Minnesota Timberwolves,Robbie Hummel,25,45,4,16.5,1.8,3.8,.459,0.4,1.1,.314,1.4,2.7,.521,.506,0.5,0.6,.828,0.7,2.3,3.0,0.6,0.4,0.2,0.4,1.9,4.4
18,Minnesota Timberwolves,Anthony Bennett,21,57,3,15.7,2.2,5.2,.421,0.1,0.4,.304,2.1,4.8,.431,.433,0.7,1.1,.641,0.9,2.9,3.8,0.8,0.5,0.3,0.6,1.5,5.2
19,Minnesota Timberwolves,Jeff Adrien,28,17,0,12.6,1.1,2.6,.432,0.0,0.0,,1.1,2.6,.432,.432,1.3,2.2,.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5
20,Minnesota Timberwolves,Arinze Onuaku,27,6,1,11.3,2.0,2.3,.857,0.0,0.0,,2.0,2.3,.857,.857,0.5,1.3,.375,1.2,2.3,3.5,0.7,0.2,0.5,0.3,1.0,4.5
21,Minnesota Timberwolves,Ronny Turiaf,32,2,0,9.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
22,Minnesota Timberwolves,Troy Daniels,23,19,0,8.1,1.0,3.1,.322,0.7,2.1,.333,0.3,1.1,.300,.432,0.1,0.1,1.000,0.3,0.7,1.0,0.7,0.2,0.0,0.4,0.7,2.8
23,Minnesota Timberwolves,Miroslav Raduljica,27,5,0,4.6,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,0.4,0.4,1.000,0.4,0.6,1.0,0.0,0.2,0.0,0.4,1.6,1.6
24,Minnesota Timberwolves,Glenn Robinson,21,25,0,4.3,0.3,1.0,.333,0.0,0.2,.167,0.3,0.7,.389,.354,0.5,0.6,.750,0.2,0.4,0.6,0.1,0.1,0.0,0.1,0.2,1.2
