,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Boston Celtics,Al Horford,31,23,23,32.6,5.6,10.0,.559,1.4,3.2,.446,4.1,6.7,.613,.631,1.6,2.0,.787,1.2,6.8,8.0,5.3,0.6,1.0,2.3,1.7,14.2
1,Boston Celtics,Kyrie Irving,25,24,24,31.8,8.7,17.8,.487,2.2,5.7,.382,6.5,12.1,.536,.548,4.0,4.7,.866,0.5,2.7,3.2,5.0,1.5,0.3,2.3,2.1,23.5
2,Boston Celtics,Jaylen Brown,21,24,24,31.4,5.3,11.7,.457,1.8,4.5,.402,3.5,7.2,.491,.534,2.3,3.8,.604,1.1,4.8,5.9,1.3,1.1,0.3,1.5,2.9,14.8
3,Boston Celtics,Marcus Smart,23,23,3,30.7,3.1,9.7,.320,1.4,4.7,.296,1.7,5.0,.342,.392,2.1,2.9,.731,0.9,3.3,4.2,5.4,1.2,0.5,2.3,2.5,9.7
4,Boston Celtics,Jayson Tatum,19,25,25,30.4,4.6,9.1,.511,1.6,3.0,.513,3.1,6.0,.510,.597,3.1,3.7,.828,0.8,4.5,5.3,1.4,1.0,0.8,1.4,2.3,13.9
5,Boston Celtics,Marcus Morris,28,15,9,24.1,4.4,10.4,.423,1.3,3.7,.345,3.1,6.7,.465,.484,2.5,3.0,.844,0.4,5.2,5.6,1.5,0.7,0.3,1.1,1.7,12.6
6,Boston Celtics,Terry Rozier,23,25,0,23.2,3.2,8.4,.376,1.6,4.3,.370,1.6,4.1,.382,.471,1.1,1.3,.818,0.7,3.6,4.3,2.0,1.0,0.0,0.7,1.4,9.0
7,Boston Celtics,Aron Baynes,31,25,14,17.9,2.4,4.9,.484,0.0,0.1,.000,2.4,4.8,.496,.484,1.1,1.6,.692,1.9,3.2,5.2,1.0,0.4,0.7,1.0,2.1,5.8
8,Boston Celtics,Semi Ojeleye,23,24,0,13.8,0.8,2.5,.339,0.6,2.0,.319,0.2,0.5,.417,.466,0.4,0.7,.625,0.5,1.5,1.9,0.3,0.3,0.0,0.3,1.0,2.7
9,Boston Celtics,Daniel Theis,25,23,2,12.3,1.8,3.1,.569,0.1,0.6,.231,1.7,2.6,.644,.590,0.7,1.0,.773,1.3,2.6,3.9,0.4,0.4,0.8,1.2,2.3,4.4
10,Boston Celtics,Shane Larkin,25,17,0,9.6,0.8,3.1,.250,0.3,1.2,.250,0.5,1.9,.250,.298,0.6,0.7,.917,0.1,0.7,0.8,1.2,0.3,0.0,0.2,1.0,2.5
11,Boston Celtics,Jabari Bird,23,2,0,8.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.5,2.5,.600,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5
12,Boston Celtics,Abdel Nader,24,11,0,7.0,0.6,1.7,.368,0.2,0.6,.286,0.5,1.1,.417,.421,0.0,0.0,,0.2,0.6,0.8,0.3,0.2,0.2,0.5,0.5,1.5
13,Boston Celtics,Gordon Hayward,27,1,1,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
14,Boston Celtics,Guerschon Yabusele,22,7,0,4.6,0.7,1.7,.417,0.3,1.0,.286,0.4,0.7,.600,.500,0.3,0.3,1.000,0.9,0.7,1.6,0.1,0.0,0.1,0.4,0.7,2.0
15,Cleveland Cavaliers,LeBron James,33,24,24,37.0,10.9,18.7,.584,2.0,4.7,.416,9.0,14.0,.640,.636,4.3,5.5,.773,1.2,6.7,7.9,8.5,1.3,1.1,4.0,1.8,28.0
16,Cleveland Cavaliers,J.R. Smith,32,24,21,30.9,3.0,7.8,.392,1.9,5.5,.338,1.2,2.2,.528,.513,0.3,0.6,.571,0.4,2.5,2.9,2.1,1.0,0.0,1.0,2.5,8.3
17,Cleveland Cavaliers,Kevin Love,29,24,24,29.3,6.1,12.9,.472,1.9,5.0,.383,4.2,7.9,.529,.547,5.1,5.7,.898,2.6,7.8,10.4,1.8,0.7,0.5,2.0,2.4,19.2
18,Cleveland Cavaliers,Derrick Rose,29,7,7,26.9,5.6,11.9,.470,0.4,1.9,.231,5.1,10.0,.514,.488,2.7,3.0,.905,1.0,1.6,2.6,1.7,0.3,0.1,2.7,1.6,14.3
19,Cleveland Cavaliers,Jae Crowder,27,24,21,25.6,2.8,7.1,.388,1.3,3.8,.333,1.5,3.3,.450,.476,1.9,2.1,.882,0.7,2.3,3.0,1.0,0.7,0.1,1.0,2.1,8.6
20,Cleveland Cavaliers,Dwyane Wade,36,23,3,23.6,4.6,10.0,.459,0.4,1.2,.357,4.2,8.8,.473,.481,2.3,3.0,.754,0.7,3.2,3.9,3.8,1.0,0.9,1.9,2.0,11.9
21,Cleveland Cavaliers,Kyle Korver,36,24,0,22.1,3.4,7.2,.471,2.5,5.8,.435,0.9,1.4,.618,.645,1.1,1.3,.867,0.1,2.0,2.1,1.0,0.5,0.5,0.7,1.8,10.3
22,Cleveland Cavaliers,Tristan Thompson,26,8,5,21.6,1.9,3.3,.577,0.0,0.0,,1.9,3.3,.577,.577,0.6,1.4,.455,2.1,4.3,6.4,0.4,0.1,0.5,0.8,2.0,4.4
23,Cleveland Cavaliers,Jeff Green,31,24,0,21.1,3.7,7.5,.494,0.5,1.8,.295,3.2,5.7,.559,.531,2.3,2.7,.831,0.8,2.5,3.4,1.6,0.8,0.3,1.0,2.0,10.2
24,Cleveland Cavaliers,Iman Shumpert,27,13,6,20.8,1.7,4.4,.386,0.5,1.9,.280,1.2,2.5,.469,.447,0.8,1.2,.733,0.5,2.5,3.1,1.3,0.7,0.4,1.3,1.5,4.8
25,Cleveland Cavaliers,Jose Calderon,36,15,9,14.3,0.9,2.0,.433,0.5,1.1,.412,0.4,0.9,.462,.550,0.3,0.4,.833,0.2,0.9,1.1,1.5,0.5,0.0,0.8,1.5,2.5
26,Cleveland Cavaliers,Channing Frye,34,22,0,12.5,1.8,3.5,.513,0.6,1.8,.350,1.1,1.6,.694,.605,0.2,0.2,1.000,0.2,2.4,2.6,0.6,0.3,0.2,0.4,1.6,4.4
27,Cleveland Cavaliers,Cedi Osman,22,16,0,5.4,0.6,1.3,.450,0.2,0.6,.333,0.4,0.7,.545,.525,0.1,0.1,1.000,0.2,1.2,1.4,0.3,0.1,0.1,0.2,0.6,1.4
28,Cleveland Cavaliers,John Holland,29,4,0,4.3,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.8
29,Cleveland Cavaliers,Ante Zizic,21,9,0,3.6,0.3,0.9,.375,0.0,0.0,,0.3,0.9,.375,.375,0.6,0.8,.714,0.4,0.7,1.1,0.0,0.0,0.3,0.2,0.4,1.2
30,Toronto Raptors,DeMar DeRozan,28,22,22,34.3,8.4,17.5,.478,0.7,2.6,.276,7.6,14.9,.514,.499,5.8,7.2,.810,0.8,3.6,4.5,4.9,1.3,0.2,2.6,1.8,23.3
31,Toronto Raptors,Kyle Lowry,31,22,22,32.8,5.4,11.8,.458,3.1,7.4,.417,2.3,4.4,.526,.588,2.7,3.0,.894,0.6,5.6,6.3,7.1,0.9,0.1,2.6,2.4,16.6
32,Toronto Raptors,Serge Ibaka,28,20,20,27.2,4.9,9.9,.495,1.5,4.3,.349,3.4,5.6,.607,.571,1.0,1.5,.655,0.8,5.0,5.7,0.6,0.4,1.4,1.2,3.0,12.3
33,Toronto Raptors,Norman Powell,24,18,12,22.1,3.4,7.8,.440,1.2,3.7,.333,2.2,4.2,.533,.518,1.2,1.4,.808,0.2,1.8,2.1,1.9,1.1,0.4,1.4,2.3,9.3
