,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Utah Jazz,2015-2016,Trevor Booker,6-8,228,"November 25, 1987",5,Clemson University
1,Utah Jazz,2015-2016,Trey Burke,6-1,191,"November 12, 1992",2,University of Michigan
2,Utah Jazz,2015-2016,Alec Burks,6-6,214,"July 20, 1991",4,University of Colorado
3,Utah Jazz,2015-2016,Derrick Favors,6-10,265,"July 15, 1991",5,Georgia Institute of Technology
4,Utah Jazz,2015-2016,Rudy Gobert,7-1,245,"June 26, 1992",2,
5,Utah Jazz,2015-2016,Erick Green,6-4,185,"May 9, 1991",1,Virginia Polytechnic Institute and State University
6,Utah Jazz,2015-2016,Gordon Hayward,6-8,226,"March 23, 1990",5,Butler University
7,Utah Jazz,2015-2016,Rodney Hood,6-8,206,"October 20, 1992",1,Duke University
8,Utah Jazz,2015-2016,Joe Ingles,6-8,226,"October 2, 1987",1,
9,Utah Jazz,2015-2016,Chris Johnson,6-6,206,"April 29, 1990",3,University of Dayton
10,Utah Jazz,2015-2016,Trey Lyles,6-10,234,"November 5, 1995",0,University of Kentucky
11,Utah Jazz,2015-2016,Shelvin Mack,6-3,203,"April 22, 1990",4,Butler University
12,Utah Jazz,2015-2016,Elijah Millsap,6-6,225,"August 12, 1987",1,University of Alabama at Birmingham
13,Utah Jazz,2015-2016,Raul Neto,6-1,179,"May 19, 1992",0,
14,Utah Jazz,2015-2016,J.J. O'Brien,6-7,228,"April 8, 1992",0,San Diego State University
15,Utah Jazz,2015-2016,Tibor Pleiss,7-3,256,"November 2, 1989",0,
16,Utah Jazz,2015-2016,Jeff Withey,7-0,231,"March 7, 1990",2,University of Kansas
