,name,height,weight,bday,exp,college
0,Matt Barnes,6-7,226,"March 9, 1980",13,"University of California, Los Angeles"
1,Ian Clark,6-3,175,"March 7, 1991",3,Belmont University
2,Stephen Curry,6-3,190,"March 14, 1988",7,Davidson College
3,Kevin Durant,6-9,240,"September 29, 1988",9,University of Texas at Austin
4,Draymond Green,6-7,230,"March 4, 1990",4,Michigan State University
5,Andre Iguodala,6-6,215,"January 28, 1984",12,University of Arizona
6,Damian Jones,7-0,245,"June 30, 1995",0,Vanderbilt University
7,Shaun Livingston,6-7,192,"September 11, 1985",11,
8,Kevon Looney,6-9,220,"February 6, 1996",1,"University of California, Los Angeles"
9,James Michael McAdoo,6-9,230,"January 4, 1993",2,University of North Carolina
10,Patrick McCaw,6-7,185,"October 25, 1995",0,"University of Nevada, Las Vegas"
11,JaVale McGee,7-0,270,"January 19, 1988",8,"University of Nevada, Reno"
12,Zaza Pachulia,6-11,270,"February 10, 1984",13,
13,Klay Thompson,6-7,215,"February 8, 1990",5,Washington State University
14,Anderson Varejao,6-10,273,"September 28, 1982",12,
15,Briante Weber,6-2,165,"December 29, 1992",1,Virginia Commonwealth University
16,David West,6-9,250,"August 29, 1980",13,Xavier University
