,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Vander Blue,22,2,1,37.0,4.5,15.0,.300,1.0,5.0,.200,3.5,10.0,.350,.333,1.0,2.5,.400,1.0,3.5,4.5,4.0,1.5,0.0,3.0,2.0,11.0
1,Kobe Bryant,36,35,35,34.5,7.6,20.4,.373,1.5,5.3,.293,6.1,15.1,.401,.411,5.6,6.9,.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3
2,Jabari Brown,22,19,5,29.9,3.7,8.9,.412,1.2,3.3,.371,2.5,5.7,.435,.479,3.4,4.5,.753,0.2,1.7,1.9,2.1,0.6,0.1,1.7,1.7,11.9
3,Wesley Johnson,27,76,59,29.5,3.8,9.1,.414,1.2,3.4,.351,2.6,5.7,.451,.480,1.2,1.5,.804,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9
4,Jordan Hill,27,70,57,26.8,5.1,11.1,.459,0.0,0.2,.273,5.1,10.9,.462,.461,1.8,2.4,.738,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12.0
5,Jeremy Lin,26,74,30,25.8,3.7,8.8,.424,0.9,2.4,.369,2.9,6.5,.444,.473,2.9,3.6,.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2
6,Wayne Ellington,27,65,36,25.8,3.9,9.5,.412,1.4,3.7,.370,2.5,5.8,.439,.485,0.8,1.0,.813,0.5,2.8,3.2,1.6,0.5,0.0,0.8,1.2,10.0
7,Jordan Clarkson,22,59,38,25.0,4.5,10.1,.448,0.6,2.1,.314,3.9,8.1,.482,.480,2.2,2.7,.829,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9
8,Nick Young,29,42,0,23.8,4.1,11.3,.366,2.0,5.4,.369,2.2,6.0,.363,.453,3.1,3.5,.892,0.4,1.9,2.3,1.0,0.5,0.3,1.0,2.0,13.4
9,Carlos Boozer,33,71,26,23.8,5.2,10.5,.499,0.0,0.0,,5.2,10.5,.499,.499,1.3,2.1,.627,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8
10,Ryan Kelly,23,52,34,23.7,2.0,5.9,.337,0.9,2.6,.336,1.1,3.4,.337,.409,1.5,1.8,.832,0.3,2.6,2.8,1.8,0.6,0.5,0.7,2.3,6.4
11,Ed Davis,25,79,24,23.3,3.6,5.9,.601,0.0,0.0,,3.6,5.9,.601,.601,1.2,2.4,.487,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3
12,Ronnie Price,31,43,20,22.8,1.8,5.2,.345,0.7,2.5,.284,1.1,2.7,.404,.415,0.8,1.0,.800,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1
13,Tarik Black,23,38,27,21.1,2.9,5.0,.589,0.0,0.0,,2.9,5.0,.589,.589,1.3,2.3,.562,2.2,4.1,6.3,0.9,0.3,0.6,0.8,2.7,7.2
14,Dwight Buycks,25,6,0,20.5,3.0,6.7,.450,1.2,1.8,.636,1.8,4.8,.379,.538,1.5,1.7,.900,0.3,1.7,2.0,2.3,0.5,0.0,2.0,0.5,8.7
15,Robert Sacre,25,67,18,16.9,1.9,4.6,.412,0.0,0.0,.000,1.9,4.6,.413,.412,0.8,1.2,.671,1.3,2.1,3.5,0.8,0.4,0.6,0.5,1.8,4.6
16,Julius Randle,20,1,0,14.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
17,Xavier Henry,23,9,0,9.6,0.3,1.4,.231,0.0,0.0,,0.3,1.4,.231,.231,1.6,2.7,.583,0.2,0.2,0.4,0.3,0.3,0.0,0.3,0.7,2.2
