,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,DeMar DeRozan,28,22,22,34.3,8.4,17.5,.478,0.7,2.6,.276,7.6,14.9,.514,.499,5.8,7.2,.810,0.8,3.6,4.5,4.9,1.3,0.2,2.6,1.8,23.3
1,Kyle Lowry,31,22,22,32.8,5.4,11.8,.458,3.1,7.4,.417,2.3,4.4,.526,.588,2.7,3.0,.894,0.6,5.6,6.3,7.1,0.9,0.1,2.6,2.4,16.6
2,Serge Ibaka,28,20,20,27.2,4.9,9.9,.495,1.5,4.3,.349,3.4,5.6,.607,.571,1.0,1.5,.655,0.8,5.0,5.7,0.6,0.4,1.4,1.2,3.0,12.3
3,Norman Powell,24,18,12,22.1,3.4,7.8,.440,1.2,3.7,.333,2.2,4.2,.533,.518,1.2,1.4,.808,0.2,1.8,2.1,1.9,1.1,0.4,1.4,2.3,9.3
4,Delon Wright,25,14,0,20.9,2.4,4.6,.523,0.6,2.0,.286,1.9,2.6,.703,.585,2.1,2.3,.938,0.4,2.0,2.4,2.6,0.9,0.4,1.8,1.4,7.6
5,Pascal Siakam,23,21,4,20.9,3.3,6.3,.523,0.4,2.1,.205,2.9,4.2,.682,.557,0.2,0.9,.278,1.0,3.6,4.6,1.8,1.0,0.5,0.9,1.8,7.2
6,Jonas Valanciunas,25,18,18,20.2,4.0,7.4,.541,0.1,0.3,.200,3.9,7.1,.555,.545,2.1,2.3,.881,2.2,4.8,7.1,0.7,0.3,0.6,1.6,2.8,10.1
7,OG Anunoby,20,22,10,19.0,2.5,5.0,.505,1.1,2.7,.417,1.4,2.2,.612,.619,0.6,1.0,.636,0.6,1.4,2.0,0.9,0.9,0.0,0.5,2.0,6.8
8,C.J. Miles,30,19,0,18.9,3.4,8.3,.408,2.5,6.4,.393,0.8,1.8,.457,.561,1.2,1.4,.885,0.3,1.7,2.0,0.7,0.6,0.5,0.6,2.1,10.5
9,Fred VanVleet,23,22,0,16.5,2.3,5.8,.398,0.8,2.4,.346,1.5,3.5,.434,.469,0.9,1.0,.870,0.2,1.4,1.6,3.1,0.8,0.2,0.9,1.4,6.4
10,Jakob Poeltl,22,22,0,15.7,3.2,4.6,.696,0.0,0.0,,3.2,4.6,.696,.696,0.7,1.5,.485,2.0,2.4,4.4,0.4,0.4,1.0,0.8,2.2,7.2
11,Lucas Nogueira,25,17,2,12.0,1.6,2.8,.596,0.2,0.6,.300,1.5,2.2,.676,.628,0.4,0.5,.778,0.5,2.2,2.7,0.4,0.6,1.2,0.5,1.6,3.9
12,Lorenzo Brown,27,5,0,9.4,0.2,1.2,.167,0.0,0.6,.000,0.2,0.6,.333,.167,0.0,0.0,,0.0,1.4,1.4,1.0,0.6,0.0,0.0,0.6,0.4
13,Bruno Caboclo,22,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0
14,Alfonzo McKinnie,25,8,0,3.1,0.5,0.8,.667,0.1,0.4,.333,0.4,0.4,1.000,.750,0.3,0.4,.667,0.0,0.6,0.6,0.1,0.0,0.1,0.1,0.8,1.4
