,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Houston Rockets,2016-2017,Ryan Anderson,6-10,240,"May 6, 1988",8,University of California
1,Houston Rockets,2016-2017,Trevor Ariza,6-8,215,"June 30, 1985",12,"University of California, Los Angeles"
2,Houston Rockets,2016-2017,Patrick Beverley,6-1,185,"July 12, 1988",4,University of Arkansas
3,Houston Rockets,2016-2017,Corey Brewer,6-9,186,"March 5, 1986",9,University of Florida
4,Houston Rockets,2016-2017,Bobby Brown,6-2,175,"September 24, 1984",2,"California State University, Fullerton"
5,Houston Rockets,2016-2017,Clint Capela,6-10,240,"May 18, 1994",2,
6,Houston Rockets,2016-2017,Sam Dekker,6-9,230,"May 6, 1994",1,University of Wisconsin
7,Houston Rockets,2016-2017,Tyler Ennis,6-3,194,"August 24, 1994",2,Syracuse University
8,Houston Rockets,2016-2017,Eric Gordon,6-4,215,"December 25, 1988",8,Indiana University
9,Houston Rockets,2016-2017,James Harden,6-5,220,"August 26, 1989",7,Arizona State University
10,Houston Rockets,2016-2017,Montrezl Harrell,6-8,240,"January 26, 1994",1,University of Louisville
11,Houston Rockets,2016-2017,Nene Hilario,6-11,250,"September 13, 1982",14,
12,Houston Rockets,2016-2017,K.J. McDaniels,6-6,205,"February 9, 1993",2,Clemson University
13,Houston Rockets,2016-2017,Chinanu Onuaku,6-10,245,"November 1, 1996",0,University of Louisville
14,Houston Rockets,2016-2017,Isaiah Taylor,6-3,170,"July 11, 1994",0,University of Texas at Austin
15,Houston Rockets,2016-2017,Lou Williams,6-1,175,"October 27, 1986",11,
16,Houston Rockets,2016-2017,Troy Williams,6-7,218,"December 30, 1994",0,Indiana University
17,Houston Rockets,2016-2017,Kyle Wiltjer,6-10,240,"October 20, 1992",0,Gonzaga University
